Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.686532112510113;1568.74951477111;;;;;0.686532112510113;1577.829976;1568.74951477111;9.08046122889027;0.00575503150973871
0.696112413648854;1562.84395744638;;;;;0.696112413648854;1573.499072;1562.84395744638;10.6551145536203;0.00677160523525256
0.705639550199084;1557.91623410181;;;;;0.705639550199084;1570.109812;1557.91623410181;12.1935778981879;0.0077660669368442
0.715112885305435;1553.85555168467;;;;;0.715112885305435;1567.576312;1553.85555168467;13.7207603153315;0.00875284999543392
0.724531941532995;1550.62185325234;;;;;0.724531941532995;1565.875008;1550.62185325234;15.2531547476569;0.00974097847512037
0.733895763906016;1548.22916897422;;;;;0.733895763906016;1565.049443;1548.22916897422;16.8202740257752;0.0107474393866643
0.743203715600856;1546.80472009833;;;;;0.743203715600856;1565.227155;1546.80472009833;18.4224349016727;0.011769815545829
0.752455000839011;1546.59984005506;;;;;0.752455000839011;1566.668144;1546.59984005506;20.0683039449384;0.0128095436304081
0.761648982764575;1548.13324457582;;;;;0.761648982764575;1569.861239;1548.13324457582;21.7279944241754;0.0138407101751338
0.770785024924846;1552.42186072829;;;;;0.770785024924846;1575.708189;1552.42186072829;23.2863282717096;0.014778325348736
0.779862331143755;1561.45202879178;;;;;0.779862331143755;1585.858478;1561.45202879178;24.4064492082243;0.015390055006046
0.788880264957231;1578.72482574197;;;;;0.788880264957231;1603.096126;1578.72482574197;24.3713002580303;0.0152026443472487
0.797838030332872;1608.84646976327;;;;;0.797838030332872;1630.869246;1608.84646976327;22.0227762367258;0.0135037044145266
0.806735149908622;1653.13472357357;;;;;0.806735149908622;1669.54084;1653.13472357357;16.4061164264338;0.00982672363165058
0.815570827610731;1701.0322572002;;;;;0.815570827610731;1709.40716;1701.0322572002;8.37490279979625;0.0048993025159648
0.824344267744193;1731.45195637594;;;;;0.824344267744193;1733.060536;1731.45195637594;1.60857962405635;0.000928172784875154
0.833055151783865;1733.48147547725;;;;;0.833055151783865;1733.257567;1733.48147547725;-0.223908477245004;-0.000129183614431036
0.841702365614105;1715.94800064887;;;;;0.841702365614105;1718.465168;1715.94800064887;2.51716735112495;0.00146477647496022
0.85028559086481;1692.63581024685;;;;;0.85028559086481;1699.539373;1692.63581024685;6.90356275314662;0.00406201989952169
0.858804031695197;1671.10390955883;;;;;0.858804031695197;1681.962832;1671.10390955883;10.8589224411655;0.00645610130888168
0.867257210470883;1653.37396524177;;;;;0.867257210470883;1667.164242;1653.37396524177;13.7902767582323;0.00827169657962966
0.875644172252595;1639.22818392752;;;;;0.875644172252595;1655.026057;1639.22818392752;15.7978730724765;0.00954539235540053
0.883964598600232;1627.96430956403;;;;;0.883964598600232;1645.097535;1627.96430956403;17.1332254359688;0.0104147171042772
0.892217534454628;1618.95534503532;;;;;0.892217534454628;1636.981433;1618.95534503532;18.026087964681;0.0110117852293814
0.900402661603631;1611.79694956997;;;;;0.900402661603631;1630.429451;1611.79694956997;18.6325014300301;0.011427971580495
0.908519184013312;1606.3497874632;;;;;0.908519184013312;1625.37086;1606.3497874632;19.0210725367999;0.0117026046208309
0.91656646509979;1602.75364118389;;;;;0.91656646509979;1621.887372;1602.75364118389;19.1337308161053;0.011797200685095
0.924544027200542;1601.31191412351;;;;;0.924544027200542;1620.09011;1601.31191412351;18.7781958764942;0.0115908342138415
0.932451074611752;1602.03679114218;;;;;0.932451074611752;1619.796073;1602.03679114218;17.75928185782;0.0109638998105041
0.940287129647342;1603.93343106314;;;;;0.940287129647342;1620.130275;1603.93343106314;16.1968439368579;0.00999724786752592
0.94805171483683;1604.96689120062;;;;;0.94805171483683;1619.680463;1604.96689120062;14.7135717993804;0.00908424355019238
