Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.172705354237383;2853.30166201377;;;;;0.172705354237383;2853.291932;2853.30166201377;-0.00973001377360561;-3.41010103609882e-06
0.173827383023807;2846.504725664;;;;;0.173827383023807;2846.501085;2846.504725664;-0.00364066400288721;-1.27899617606758e-06
0.174949252586402;2840.11335674717;;;;;0.174949252586402;2840.13272;2840.11335674717;0.0193632528257695;6.81772816087603e-06
0.176071122122647;2834.14833393427;;;;;0.176071122122647;2834.123111;2834.14833393427;-0.0252229342718238;-8.89973133980197e-06
0.177192673262706;2828.62009115691;;;;;0.177192673262706;2828.622308;2828.62009115691;0.00221684309462944;7.8371830992059e-07
0.178314224441764;2823.49409621252;;;;;0.178314224441764;2823.428854;2823.49409621252;-0.0652422125226622;-2.31074398882877e-05
0.179435457365942;2818.7494984331;;;;;0.179435457365942;2818.772822;2818.7494984331;0.0233235668979432;8.27436915664403e-06
0.180556690168913;2814.57145048455;;;;;0.180556690168913;2814.502892;2814.57145048455;-0.0685584845514313;-2.43590030574505e-05
0.181677763794497;2810.76736922;;;;;0.181677763794497;2810.751451;2810.76736922;-0.0159182200009127;-5.66333248542818e-06
0.182798678293267;2807.41179087983;;;;;0.182798678293267;2807.436188;2807.41179087983;0.0243971201743989;8.6901779918208e-06
0.183919433603499;2804.51258328057;;;;;0.183919433603499;2804.498373;2804.51258328057;-0.0142102805716604;-5.06695982014763e-06
0.185040188988585;2802.16313066828;;;;;0.185040188988585;2802.122263;2802.16313066828;-0.0408676682791338;-1.45845414451617e-05
0.186160625939746;2800.19340821673;;;;;0.186160625939746;2800.203447;2800.19340821673;0.0100387832740125;3.58501925450009e-06
0.187281062912837;2798.751276044;;;;;0.187281062912837;2798.768851;2798.751276044;0.0175749560012264;6.27953108558674e-06
0.188401181478974;2797.8320661461;;;;;0.188401181478974;2797.829232;2797.8320661461;-0.00283414609657484;-1.01298037212546e-06
0.189521300124669;2797.4167626666;;;;;0.189521300124669;2797.42599;2797.4167626666;0.00922733339575643;3.29850849628963e-06
0.190641259613451;2797.52513265908;;;;;0.190641259613451;2797.52955;2797.52513265908;0.00441734091782564;1.57901492687562e-06
