Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.165970635134742;2902.36540854031;;;;;0.165970635134742;2902.394271;2902.36540854031;0.0288624596914815;9.94436213572635e-06
0.167093459751923;2893.23709771873;;;;;0.167093459751923;2893.23781;2893.23709771873;0.000712281267624348;2.46188289522025e-07
0.16821612520082;2884.44803124868;;;;;0.16821612520082;2884.438532;2884.44803124868;-0.00949924867518348;-3.29327478113979e-06
0.169338631422745;2876.07315071099;;;;;0.169338631422745;2876.089509;2876.07315071099;0.0163582890145335;5.68768425438233e-06
0.170460978471111;2868.07153760823;;;;;0.170460978471111;2868.084551;2868.07153760823;0.0130133917682542;4.5373110648767e-06
0.171583325507391;2860.48207504564;;;;;0.171583325507391;2860.468891;2860.48207504564;-0.013184045644266;-4.60905052515952e-06
0.172705354237383;2853.32657971282;;;;;0.172705354237383;2853.291932;2853.32657971282;-0.0346477128223341;-1.21430662014482e-05
0.173827383023807;2846.47536318347;;;;;0.173827383023807;2846.501085;2846.47536318347;0.0257218165329505;9.03629254472969e-06
0.174949252586402;2840.12836726414;;;;;0.174949252586402;2840.13272;2840.12836726414;0.00435273585617324;1.53258184926416e-06
0.176071122122647;2834.17235905975;;;;;0.176071122122647;2834.123111;2834.17235905975;-0.049248059749516;-1.73768244429365e-05
0.177192673262706;2828.61904020755;;;;;0.177192673262706;2828.622308;2828.61904020755;0.0032677924532436;1.15525937980533e-06
0.178314224441764;2823.46693188501;;;;;0.178314224441764;2823.428854;2823.46693188501;-0.0380778850148999;-1.34863979168288e-05
0.179435457365942;2818.85044933511;;;;;0.179435457365942;2818.772822;2818.85044933511;-0.0776273351139025;-2.75394081098113e-05
0.180556690168913;2814.53958183994;;;;;0.180556690168913;2814.502892;2814.53958183994;-0.0366898399447564;-1.30359929808722e-05
0.181677763794497;2810.81707176281;;;;;0.181677763794497;2810.751451;2810.81707176281;-0.0656207628139782;-2.33463413460596e-05
0.182798678293267;2807.41398812854;;;;;0.182798678293267;2807.436188;2807.41398812854;0.0221998714555411;7.90752486216123e-06
0.183919433603499;2804.49881100974;;;;;0.183919433603499;2804.498373;2804.49881100974;-0.000438009744357259;-1.56181136909955e-07
0.185040188988585;2802.11573548576;;;;;0.185040188988585;2802.122263;2802.11573548576;0.00652751423558584;2.32948944511699e-06
0.186160625939746;2800.17501133198;;;;;0.186160625939746;2800.203447;2800.17501133198;0.0284356680172095;1.01548578720857e-05
0.187281062912837;2798.84682671764;;;;;0.187281062912837;2798.768851;2798.84682671764;-0.0779757176355815;-2.7860720833634e-05
0.188401181478974;2797.87456855653;;;;;0.188401181478974;2797.829232;2797.87456855653;-0.0453365565335844;-1.62041900252704e-05
0.189521300124669;2797.45702174112;;;;;0.189521300124669;2797.42599;2797.45702174112;-0.0310317411199321;-1.10929623271042e-05
